	entities	total_count
839	disease caused by ncov	2
995	hcov 2 infection	2
831	novel coronavirus associated infectious disease	2
834	2019 cov infection	2
835	disease from corona	2
837	infection from sars cov 2 virus	2
838	disease caused by ncov 2019	2
840	pneumonia caused by novel severe acute respiratory syndrome coronavirus 2	2
854	coronavirus pneumonia infection	2
819	virus that causes covid 19 acute respiratory syndrome	2
826	novel coronavirus 2019 illness	2
827	paediatric multisystem inflammatory disease	2
843	cov illness	2
852	chinese corona	2
853	sars cov 2 virus pneumonia	2
908	sars cov 2 infection pneumonia	2
878	cov 2 virus pneumonia	2
910	infection caused by coronaviruses	2
966	acute respiratory syndrome caused by novel coronavirus 2019	2
958	acute respiratory infection caused by novel coronavirus 2019	2
980	cov2 severe pneumonia	2
960	illness caused by sars cov 2 virus	2
994	sars cov 2 related syndrome	2
964	novel cov disease	2
991	illness caused by coronavirus 2019	2
988	illness caused by novel sars cov 2	2
954	illness caused by 2019 novel coronavirus	2
911	coronavirus that causes covid 19 infection	2
987	illness caused by novel sars cov 2 coronavirus	2
983	infectious disease caused by 2019 novel coronavirus	2
967	new coronavirus respiratory disease	2
975	sars cov2 severe pneumonia	2
981	syndrome caused by novel coronavirus 2019	2
957	disease caused by new coronavirus	2
959	sars cov 2 respiratory illness	2
952	new coronavirus syndrome	2
933	covid 2019 ards	2
914	cov infectious diseases	2
916	covid19 virus disease	2
917	cov 19 virus infection	2
918	syndrome from novel coronavirus	2
922	2019 novel corona virus (2019 ncov) disease	2
951	novel coronavirus severe respiratory disease	2
926	coronavirus disease 2019 (covid 2019) illness	2
936	infectious pneumonia caused by 2019 novel coronavirus	2
938	coronavirus severe respiratory disease	2
942	infection caused by sars coronavirus 2	2
948	novel cov respiratory disease	2
949	new coronavirus (sars cov 2) disease	2
978	pneumonia due to 2019 ncov	2
1406	acute respiratory syndrome coronavirus 2 illness	1
1408	2019 novel sars cov 2 coronavirus infection	1
1409	sars cov 2 associated coronavirus infection	1
1405	severe acute respiratory syndrome coronavirus 2 illness	1
1404	covid 19 virus pneumonia	1
1402	acute respiratory syndrome coronavirus 2 severe infection	1
1397	disease due to severe acute respiratory syndrome corona virus 2	1
1395	pneumonia caused by severe acute respiratory syndrome associated coronavirus 2	1
1365	disease caused by acute respiratory syndrome coronavirus 2	1
1394	novel coronavirus 2 disease	1
1392	virus causing covid 19 pneumonia	1
1386	novel coronavirus pneumonia caused by sars cov 2	1
1385	syndrome due to coronavirus 2019	1
1384	covid 19 (coronavirus) infection	1
1372	disease from coronavirus 2019	1
1370	severe acute respiratory syndrome coronavirus 2 (sars cov 2) related pneumonia	1
1367	coronavirus disorder	1
1366	disease caused by sarscov2	1
1364	severe acute respiratory syndrome coronavirus 2 associated disease	1
1363	infectious disease caused by acute respiratory syndrome coronavirus 2	1
1361	pneumonia due to 2019 coronavirus	1
1353	severe acute respiratory syndrome coronavirus 2 (sars cov 2) related infection	1
1349	virus that causes covid 19 severe acute respiratory syndrome	1
1413	coronavirus acute respiratory disease	1
1410	wuhan coronavirus disease	1
1492	disease due to corona	1
1414	novel coronavirus acute respiratory disease	1
1451	2019 sars cov 2 infection	1
1507	covid 19 novel coronavirus disease	1
1505	infection caused by ncov	1
1495	coronavirus responsible for covid 19 illness	1
1337	2019 ncov acute respiratory diseases	1
1485	pneumonia caused by covid 19 virus	1
1484	wuhan coronavirus pneumonia	1
1476	novel coronavirus severe respiratory syndrome	1
1473	wuhan novel coronavirus infection	1
1471	acute respiratory infection caused by sars cov 2	1
1469	coronavirus disease 2019 related illnesses	1
1465	coronavirus disease 2019 ards	1
1456	illness caused by acute respiratory syndrome coronavirus 2	1
1450	illness caused by covid 19 virus	1
1415	2019 novel coronavirus acute respiratory disease	1
1445	pneumonia due to 2019 novel coronavirus	1
1444	disease caused by severe acute respiratory syndrome coronavirus (cov) 2	1
1443	covid 19 related respiratory syndrome	1
1438	diseases caused by sars cov 2 virus	1
1436	covid 19 (coronavirus) disease	1
1434	infections caused by 2019 ncov	1
1433	syndromes caused by sars cov 2	1
1432	chinese coronavirus disease	1
1426	disease due to 2019 novel coronavirus	1
1420	covid 19 novel coronavirus pneumonia	1
1419	new severe acute respiratory syndrome coronavirus 2 infection	1
1417	sars cov 19 disease	1
1338	acute respiratory disease caused by 2019 novel coronavirus	1
1247	hcov 19 infection	1
1336	sars cov 2 severe acute respiratory syndrome	1
1193	virus that causes coronavirus disease 2019 infection	1
1248	novel coronavirus respiratory syndrome	1
1246	sars cov 2 2019 disease	1
1234	new coronavirus respiratory syndrome	1
1230	infectious pneumonia caused by severe acute respiratory syndrome coronavirus 2	1
1222	infection from sars cov2	1
1220	covid 19 virus illness	1
1214	disorder caused by coronavirus	1
1212	wuhan novel coronavirus disease	1
1208	disease caused by sars cov 2 2019	1
1199	new coronavirus related pneumonia	1
1196	disease from new sars cov 2	1
1194	new corona disease	1
1191	new sars cov 2 disease	1
1327	pneumonia caused by sars cov 2 coronavirus	1
1183	coronaviruses respiratory illness	1
1181	severe acute respiratory syndrome (sars) coronavirus (cov) 2 infection	1
1180	syndrome caused by cov 2 virus	1
1178	ncov severe illness	1
1177	2019 ncov severe illness	1
1175	sarscov2 disease	1
1173	syndrome due to 2019 ncov	1
1168	covid related infections	1
1158	virus that causes covid 19 pneumonia	1
1154	coronavirus infection (covid 19) caused by sars cov 2 virus	1
1153	sars cov 2 novel coronavirus infection	1
1142	pneumonia caused by novel corona	1
1250	corona disease infection	1
1253	novel coronavirus (sars cov2) infections	1
1254	virus that causes covid 19 illness	1
1255	severe acute respiratory syndrome coronavirus 2 virus infection	1
1324	infection caused by novel corona	1
1323	infection caused by novel corona virus	1
1320	2019 novel corona virus (2019 ncov) infection	1
1319	disease caused by 2019 new corona	1
1314	illness due to novel coronavirus	1
1311	coronavirus (sars cov 2 ) disease	1
1309	severe acute respiratory syndrome coronavirus 2 virus disease	1
1308	disease caused by 2019 new corona virus	1
1305	coronavirus infection due to sars cov 2	1
1301	cov 2 syndromes	1
1299	coronavirus 2019 respiratory disease	1
1294	syndrome caused by coronaviruses	1
1293	novel sars cov 2 pneumonia	1
1289	infection syndrome caused by sars cov 2	1
1288	illness caused by severe acute respiratory syndrome coronavirus 2 (sars cov 2) virus	1
1287	wuhan respiratory syndrome	1
1286	illness from sars cov 2 virus	1
1279	novel coronavirus infections 2019	1
1278	pneumonia caused by novel coronavirus 2019	1
1274	severe acute respiratory syndrome 2019	1
1266	post acute sequelae of sars cov2 infection	1
1263	infection due to new sars cov 2	1
1261	infection due to sars cov2	1
1260	sars 2019	1
1257	human coronavirus 2019 disease	1
1508	coronavirus severe respiratory syndrome	1
