	entities	total_count
993	b.1.218	1
854	b.1.1.208	1
961	b.1.625	1
960	b.1.1.6	1
959	b.1.351.3 variant	1
957	q.2	1
931	d.2	1
932	lineage d.2	1
933	b.1.638	1
934	lineage s	1
935	b.1.533 lineage	1
936	b.1.533	1
937	q.3	1
938	b.1.1.523 lineage	1
939	b.1.1.129	1
940	q.1	1
941	clade 21a	1
942	lineage b.1.470	1
943	b.1.623	1
944	b.6.6	1
945	b.1.36.1	1
946	ed.1	1
947	lineage b.1.1.70	1
948	b.1.1.1 variant	1
949	lineage ay.6	1
950	nk lineage	1
951	ay.85	1
952	ay.6	1
954	ay.103	1
955	20g clade	1
956	b.1.128 lineage	1
855	b.1.1.72	1
756	variant af	1
853	taiwan/ntu01/2020	1
740	a.5	1
742	c.1.1	1
743	p.1.1 variant	1
747	n.3	1
751	lineage b.1.1.74	1
752	clade gk	1
753	belgium/ghb 03021/2020	1
755	b.1.111 lineage	1
757	b.1.617.1 lineage	1
758	b.1.258.17	1
759	c.30	1
760	fh variant	1
761	lineage b.1.619	1
762	b.1.1.526	1
763	b.1.369 lineage	1
764	lineage be	1
765	cp variant	1
767	au.2	1
769	wuhan/wh01/2019	1
770	y lineage	1
771	pc lineage	1
773	b.1.1.63 lineage	1
774	b.1.428.1 lineage	1
775	b.1.428.1	1
776	variant an	1
777	ay.4 variant	1
741	lineage b.1.243	1
739	hb variant	1
779	b.1.1.94	1
738	b.1.1.332	1
706	lineage b.1.319	1
708	b.1.319	1
714	xda	1
715	b.1.1.250	1
716	c.8	1
717	lineage b.1.6	1
718	b.1.6	1
719	b.1.247	1
720	c.36.3	1
721	ay.31	1
722	n.4	1
723	b.1.1.33 variant	1
724	b.1.1.298 variant	1
725	b.1.167	1
726	b.1.1.266	1
727	b.1.1.71	1
728	ca.7	1
729	a.2.5 lineage	1
730	lineage a.2.5	1
731	lineage p.7	1
733	b.1.425	1
734	b.1.1.148	1
735	b.1.177.7	1
736	b.1.480	1
737	variant b.1.243.1	1
778	b.1.212	1
781	b.1.585	1
852	lineage b.1.1.72	1
817	n variant	1
819	ng variant	1
820	b.1.221 lineage	1
821	b.1.340	1
822	lineage b.1.340	1
824	b.1.544	1
826	b.1.558	1
827	ay.23 lineage	1
828	ay.27	1
829	b.1.1.251 lineage	1
830	b.1.1.251	1
831	lineage b.1.2	1
832	xc lineage	1
834	b.1.471	1
836	bd lineage	1
837	b.1.153	1
838	b.1.1.434	1
839	b.1.523	1
841	d lineage	1
844	lineage b.1.634	1
845	variant b.1.617.1	1
846	variant gz	1
847	cd.1	1
848	b.1.248	1
850	b.1.177.86	1
851	lineage b.1.177.86	1
818	b.1.1.220 variant	1
816	ca.4	1
783	variant b.1.36	1
814	variant mm	1
785	clade 20e	1
787	g/478k.v1	1
788	gr/501y.v3	1
789	b.1.351.2	1
790	gh/501y.v2	1
791	b.1.499 lineage	1
792	b.1.499	1
793	ge variant	1
794	lineage ba.1.1	1
795	b.1.1.25 lineage	1
797	lineage b.1.620	1
798	b.1.1.267	1
799	b.1.588	1
800	lineage b.1.588	1
801	b.1.468	1
802	ea lineage	1
803	malaysia/iium316/2020	1
805	g.1	1
806	b.1.1.17	1
807	ay.98	1
808	ay.4.3	1
809	n.1 lineage	1
811	ay.79	1
812	ay.42	1
813	ay.24	1
994	b.1.260	1
